"Ar";"Regionkod";"Kon";"Ar_lan";"Antal_KKN";"Antal_ovrig";"Antal_total";"Andel_KKN";"Andel_KKN_prc"
2007;"0114";"Män";0;238;7230;7468;0,031869309051955;3,19
2007;"0114";"Kvinnor";0;254;6221;6475;0,0392277992277992;3,92
2007;"0115";"Män";0;96;3295;3391;0,0283102329696255;2,83
2007;"0115";"Kvinnor";0;94;3359;3453;0,0272227048942948;2,72
2007;"0117";"Män";0;157;3890;4047;0,0387941685198913;3,88
2007;"0117";"Kvinnor";0;217;4246;4463;0,0486220031369034;4,86
2007;"0120";"Män";0;187;4328;4515;0,0414174972314507;4,14
2007;"0120";"Kvinnor";0;224;4413;4637;0,0483070951045935;4,83
2007;"0123";"Män";0;250;11817;12067;0,0207176597331565;2,07
2007;"0123";"Kvinnor";0;437;8651;9088;0,0480853873239437;4,81
2007;"0125";"Män";0;116;2824;2940;0,0394557823129252;3,95
2007;"0125";"Kvinnor";0;137;3047;3184;0,0430276381909548;4,3
2007;"0126";"Män";0;403;18111;18514;0,0217673112239386;2,18
2007;"0126";"Kvinnor";0;423;19792;20215;0,0209250556517438;2,09
2007;"0127";"Män";0;502;10645;11147;0,0450345384408361;4,5
2007;"0127";"Kvinnor";0;495;8429;8924;0,0554683998207082;5,55
2007;"0128";"Män";0;32;967;999;0,032032032032032;3,2
2007;"0128";"Kvinnor";0;32;1293;1325;0,0241509433962264;2,42
2007;"0136";"Män";0;201;12039;12240;0,016421568627451;1,64
2007;"0136";"Kvinnor";0;297;9670;9967;0,0297983345038627;2,98
2007;"0138";"Män";0;171;4616;4787;0,0357217463964905;3,57
2007;"0138";"Kvinnor";0;172;4160;4332;0,0397045244690674;3,97
2007;"0139";"Män";0;54;3733;3787;0,014259308159493;1,43
2007;"0139";"Kvinnor";0;38;2820;2858;0,013296011196641;1,33
2007;"0140";"Män";0;7;1112;1119;0,00625558534405719;0,63
2007;"0140";"Kvinnor";0;13;856;869;0,0149597238204833;1,5
2007;"0160";"Män";0;426;10497;10923;0,0390002746498215;3,9
2007;"0160";"Kvinnor";0;716;9943;10659;0,0671732807955718;6,72
2007;"0162";"Män";0;206;6004;6210;0,0331723027375201;3,32
2007;"0162";"Kvinnor";0;301;9216;9517;0,0316276137438268;3,16
2007;"0163";"Män";0;412;11644;12056;0,0341738553417386;3,42
2007;"0163";"Kvinnor";0;577;9843;10420;0,0553742802303263;5,54
2007;"0180";"Män";0;29345;251187;280532;0,104604822266266;10,46
2007;"0180";"Kvinnor";0;31821;227827;259648;0,122554381316244;12,26
2007;"0181";"Män";0;514;23494;24008;0,0214095301566145;2,14
2007;"0181";"Kvinnor";0;583;19295;19878;0,0293289063286045;2,93
2007;"0182";"Män";0;848;14290;15138;0,0560179680274805;5,6
2007;"0182";"Kvinnor";0;1088;12891;13979;0,0778310322626797;7,78
2007;"0183";"Män";0;410;9890;10300;0,0398058252427184;3,98
2007;"0183";"Kvinnor";0;292;7649;7941;0,0367711875078705;3,68
2007;"0184";"Män";0;1560;33043;34603;0,0450827962893391;4,51
2007;"0184";"Kvinnor";0;1509;32128;33637;0,0448613134346107;4,49
2007;"0186";"Män";0;618;4737;5355;0,115406162464986;11,54
2007;"0186";"Kvinnor";0;554;5307;5861;0,0945231189216857;9,45
2007;"0187";"Män";0;61;1015;1076;0,0566914498141264;5,67
2007;"0187";"Kvinnor";0;69;1236;1305;0,0528735632183908;5,29
2007;"0188";"Män";0;274;9191;9465;0,0289487585842578;2,89
2007;"0188";"Kvinnor";0;359;9246;9605;0,0373763664757939;3,74
2007;"0191";"Män";0;252;14073;14325;0,0175916230366492;1,76
2007;"0191";"Kvinnor";0;262;10778;11040;0,023731884057971;2,37
2007;"0192";"Män";0;63;3061;3124;0,0201664532650448;2,02
2007;"0192";"Kvinnor";0;109;3240;3349;0,0325470289638698;3,25
2007;"0305";"Män";0;43;2136;2179;0,0197338228545204;1,97
2007;"0305";"Kvinnor";0;78;2062;2140;0,0364485981308411;3,64
2007;"0319";"Män";0;29;1353;1382;0,0209840810419682;2,1
2007;"0319";"Kvinnor";0;32;989;1021;0,0313418217433888;3,13
2007;"0330";"Män";0;31;1433;1464;0,0211748633879781;2,12
2007;"0330";"Kvinnor";0;43;1500;1543;0,0278677900194426;2,79
2007;"0331";"Män";0;169;1775;1944;0,0869341563786008;8,69
2007;"0331";"Kvinnor";0;177;1690;1867;0,094804499196572;9,48
2007;"0360";"Män";0;52;3534;3586;0,0145008365867262;1,45
2007;"0360";"Kvinnor";0;50;2722;2772;0,018037518037518;1,8
2007;"0380";"Män";0;1880;39743;41623;0,0451673353674651;4,52
2007;"0380";"Kvinnor";0;2258;41147;43405;0,0520216564911877;5,2
2007;"0381";"Män";0;107;6834;6941;0,0154156461604956;1,54
2007;"0381";"Kvinnor";0;197;6741;6938;0,0283943499567599;2,84
2007;"0382";"Män";0;29;4718;4747;0,00610912155045292;0,61
2007;"0382";"Kvinnor";0;49;3615;3664;0,0133733624454148;1,34
2007;"0428";"Män";0;58;1523;1581;0,036685641998735;3,67
2007;"0428";"Kvinnor";0;92;1199;1291;0,0712625871417506;7,13
2007;"0461";"Män";0;34;1065;1099;0,0309372156505914;3,09
2007;"0461";"Kvinnor";0;53;1382;1435;0,0369337979094077;3,69
2007;"0480";"Män";0;287;9966;10253;0,0279918072759192;2,8
2007;"0480";"Kvinnor";0;367;10035;10402;0,0352816766006537;3,53
2007;"0481";"Män";0;25;3419;3444;0,00725900116144019;0,73
2007;"0481";"Kvinnor";0;26;1798;1824;0,0142543859649123;1,43
2007;"0482";"Män";0;47;2943;2990;0,0157190635451505;1,57
2007;"0482";"Kvinnor";0;67;2540;2607;0,0257000383582662;2,57
2007;"0483";"Män";0;442;6288;6730;0,0656760772659733;6,57
2007;"0483";"Kvinnor";0;289;5715;6004;0,0481345769487009;4,81
2007;"0484";"Män";0;619;19995;20614;0,0300281362181042;3
2007;"0484";"Kvinnor";0;840;18105;18945;0,0443388756927949;4,43
2007;"0486";"Män";0;151;4831;4982;0,030309112806102;3,03
2007;"0486";"Kvinnor";0;157;4594;4751;0,0330456745948221;3,3
2007;"0488";"Män";0;93;1572;1665;0,0558558558558559;5,59
2007;"0488";"Kvinnor";0;107;1624;1731;0,0618139803581745;6,18
2007;"0509";"Män";0;70;821;891;0,0785634118967452;7,86
2007;"0509";"Kvinnor";0;46;759;805;0,0571428571428571;5,71
2007;"0512";"Män";0;3;671;674;0,00445103857566766;0,45
2007;"0512";"Kvinnor";0;6;477;483;0,0124223602484472;1,24
