"regionkod_Kolada";"regionkod";"region";"region_kortnamn";"lan";"lan_kortnamn";"ar_lan"
"0000";"00";"Riket";"Riket";"Riket";"Riket";1
"0001";"01";"Stockholms län";"Stockholm";"Stockholms län";"Stockholm";1
"0114";"0114";"Upplands Väsby";"Upplands Väsby";"Stockholms län";"Stockholm";0
"0115";"0115";"Vallentuna";"Vallentuna";"Stockholms län";"Stockholm";0
"0117";"0117";"Österåker";"Österåker";"Stockholms län";"Stockholm";0
"0120";"0120";"Värmdö";"Värmdö";"Stockholms län";"Stockholm";0
"0123";"0123";"Järfälla";"Järfälla";"Stockholms län";"Stockholm";0
"0125";"0125";"Ekerö";"Ekerö";"Stockholms län";"Stockholm";0
"0126";"0126";"Huddinge";"Huddinge";"Stockholms län";"Stockholm";0
"0127";"0127";"Botkyrka";"Botkyrka";"Stockholms län";"Stockholm";0
"0128";"0128";"Salem";"Salem";"Stockholms län";"Stockholm";0
"0136";"0136";"Haninge";"Haninge";"Stockholms län";"Stockholm";0
"0138";"0138";"Tyresö";"Tyresö";"Stockholms län";"Stockholm";0
"0139";"0139";"Upplands-Bro";"Upplands-Bro";"Stockholms län";"Stockholm";0
"0140";"0140";"Nykvarn";"Nykvarn";"Stockholms län";"Stockholm";0
"0160";"0160";"Täby";"Täby";"Stockholms län";"Stockholm";0
"0162";"0162";"Danderyd";"Danderyd";"Stockholms län";"Stockholm";0
"0163";"0163";"Sollentuna";"Sollentuna";"Stockholms län";"Stockholm";0
"0180";"0180";"Stockholm";"Stockholm";"Stockholms län";"Stockholm";0
"0181";"0181";"Södertälje";"Södertälje";"Stockholms län";"Stockholm";0
"0182";"0182";"Nacka";"Nacka";"Stockholms län";"Stockholm";0
"0183";"0183";"Sundbyberg";"Sundbyberg";"Stockholms län";"Stockholm";0
"0184";"0184";"Solna";"Solna";"Stockholms län";"Stockholm";0
"0186";"0186";"Lidingö";"Lidingö";"Stockholms län";"Stockholm";0
"0187";"0187";"Vaxholm";"Vaxholm";"Stockholms län";"Stockholm";0
"0188";"0188";"Norrtälje";"Norrtälje";"Stockholms län";"Stockholm";0
"0191";"0191";"Sigtuna";"Sigtuna";"Stockholms län";"Stockholm";0
"0192";"0192";"Nynäshamn";"Nynäshamn";"Stockholms län";"Stockholm";0
"0003";"03";"Uppsala län";"Uppsala";"Uppsala län";"Uppsala";1
"0305";"0305";"Håbo";"Håbo";"Uppsala län";"Uppsala";0
"0319";"0319";"Älvkarleby";"Älvkarleby";"Uppsala län";"Uppsala";0
"0330";"0330";"Knivsta";"Knivsta";"Uppsala län";"Uppsala";0
"0331";"0331";"Heby";"Heby";"Uppsala län";"Uppsala";0
"0360";"0360";"Tierp";"Tierp";"Uppsala län";"Uppsala";0
"0380";"0380";"Uppsala";"Uppsala";"Uppsala län";"Uppsala";0
"0381";"0381";"Enköping";"Enköping";"Uppsala län";"Uppsala";0
"0382";"0382";"Östhammar";"Östhammar";"Uppsala län";"Uppsala";0
"0004";"04";"Södermanlands län";"Södermanland";"Södermanlands län";"Södermanland";1
"0428";"0428";"Vingåker";"Vingåker";"Södermanlands län";"Södermanland";0
"0461";"0461";"Gnesta";"Gnesta";"Södermanlands län";"Södermanland";0
"0480";"0480";"Nyköping";"Nyköping";"Södermanlands län";"Södermanland";0
"0481";"0481";"Oxelösund";"Oxelösund";"Södermanlands län";"Södermanland";0
"0482";"0482";"Flen";"Flen";"Södermanlands län";"Södermanland";0
"0483";"0483";"Katrineholm";"Katrineholm";"Södermanlands län";"Södermanland";0
"0484";"0484";"Eskilstuna";"Eskilstuna";"Södermanlands län";"Södermanland";0
"0486";"0486";"Strängnäs";"Strängnäs";"Södermanlands län";"Södermanland";0
"0488";"0488";"Trosa";"Trosa";"Södermanlands län";"Södermanland";0
"0005";"05";"Östergötlands län";"Östergötland";"Östergötlands län";"Östergötland";1
"0509";"0509";"Ödeshög";"Ödeshög";"Östergötlands län";"Östergötland";0
"0512";"0512";"Ydre";"Ydre";"Östergötlands län";"Östergötland";0
"0513";"0513";"Kinda";"Kinda";"Östergötlands län";"Östergötland";0
"0560";"0560";"Boxholm";"Boxholm";"Östergötlands län";"Östergötland";0
"0561";"0561";"Åtvidaberg";"Åtvidaberg";"Östergötlands län";"Östergötland";0
"0562";"0562";"Finspång";"Finspång";"Östergötlands län";"Östergötland";0
"0563";"0563";"Valdemarsvik";"Valdemarsvik";"Östergötlands län";"Östergötland";0
"0580";"0580";"Linköping";"Linköping";"Östergötlands län";"Östergötland";0
"0581";"0581";"Norrköping";"Norrköping";"Östergötlands län";"Östergötland";0
"0582";"0582";"Söderköping";"Söderköping";"Östergötlands län";"Östergötland";0
"0583";"0583";"Motala";"Motala";"Östergötlands län";"Östergötland";0
"0584";"0584";"Vadstena";"Vadstena";"Östergötlands län";"Östergötland";0
"0586";"0586";"Mjölby";"Mjölby";"Östergötlands län";"Östergötland";0
"0006";"06";"Jönköpings län";"Jönköping";"Jönköpings län";"Jönköping";1
"0604";"0604";"Aneby";"Aneby";"Jönköpings län";"Jönköping";0
"0617";"0617";"Gnosjö";"Gnosjö";"Jönköpings län";"Jönköping";0
"0642";"0642";"Mullsjö";"Mullsjö";"Jönköpings län";"Jönköping";0
"0643";"0643";"Habo";"Habo";"Jönköpings län";"Jönköping";0
"0662";"0662";"Gislaved";"Gislaved";"Jönköpings län";"Jönköping";0
"0665";"0665";"Vaggeryd";"Vaggeryd";"Jönköpings län";"Jönköping";0
"0680";"0680";"Jönköping";"Jönköping";"Jönköpings län";"Jönköping";0
"0682";"0682";"Nässjö";"Nässjö";"Jönköpings län";"Jönköping";0
"0683";"0683";"Värnamo";"Värnamo";"Jönköpings län";"Jönköping";0
"0684";"0684";"Sävsjö";"Sävsjö";"Jönköpings län";"Jönköping";0
"0685";"0685";"Vetlanda";"Vetlanda";"Jönköpings län";"Jönköping";0
"0686";"0686";"Eksjö";"Eksjö";"Jönköpings län";"Jönköping";0
"0687";"0687";"Tranås";"Tranås";"Jönköpings län";"Jönköping";0
"0007";"07";"Kronobergs län";"Kronoberg";"Kronobergs län";"Kronoberg";1
"0760";"0760";"Uppvidinge";"Uppvidinge";"Kronobergs län";"Kronoberg";0
"0761";"0761";"Lessebo";"Lessebo";"Kronobergs län";"Kronoberg";0
"0763";"0763";"Tingsryd";"Tingsryd";"Kronobergs län";"Kronoberg";0
